# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	sprites\player_jason_bullet.png	199	200 	50
30	textures\player.png	41	255 	4
31	textures\player-right.png	41	255 	4
40	sprites\enemies.png	255	0 	255
41	sprites\enemies0.png	255	0 	255
70	sprites\map1bank.png	255	255	255
80	textures\HUB.png	255	0 	255

[MAP]
70	46	11	151	112	506	sprites\map1map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#---------------->  Sophia <------------------>#
# Wheel Part 
10001	3	21	10	28	30
10002	12	21	19	28	30
10003	21	21	28	28	30
10004	30	21	37	28	30

# Middle Part 
10005	3	12	10	18	30

# Gun Part LEFT: 0, 45, 90
10006	12	3	19	9	30
10007	21	3	28	10	30
10008	30	3	37	9	30

# Gun Part RIGHT: 0, 45, 90
11006	390	3	397	9	31
11007	381	3	388	10	31

# Cabin Part LEFT
10009	39	3	55	10	30
10010	56	3	71	10	30
10011	73	3	89	18	30

# Cabin Part RIGHT
11009	355	3	371	10	31
11010	338	3	353	10	31
11011	321	3	337	18	31

#****************
# idle small right
10021	247	0	259	15	0

# walk
10022	275	0	291	15	0
10023	306	0	320	15	0

# idle small left
10031	187	0	198	15	0

# walk
10032	155	0	170	15	0
10033	125	0	139	15	0

#---------------->  Bullet_Jason <------------------>#
# Bullet right lv2
300003	35	47	59	54	10

#Bullet top lv2
300004	4	61	10	86	10

# Bullet right lv3
310001	35	37	59	43	10
310002	35	26	59	32	10
310003	35	14	59	20	10
310004	35	2	59	8	10

# Bullet top lv3 
310005	16	61	22	85	10
310006	28	61	34	85	10
310007	40	61	46	85	10
310008	52	61	58	85	10

# Bullet left lv2 
300005	3	47	27	54	10

# Bullet left lv3
310009	3	37	27	43	10
310010	3	26	27	32	10
310011	3	14	27	20	10
310012	3	2	27	8	10

#---------------->  Interrupt <------------------>#
200001	400	127	421	144	40

#---------------->  BallBot <------------------>#
400000	132	738	150	755	41
400001	152	738	170	755	41
400002	172	738	190	755	41

#---------------->  Stuka <------------------>#
500000	78	387	96	404	41
500001	98	387	116	404	41
500002	118	387	136	404	41
500003	138	387	156	404	41
500004	158	387	176	404	41

#---------------->  Eyelet Right <------------------>#
600000	132	29	150	46	41
600001	152	29	170	46	41
600002	172	29	190	46	41
600003	192	29	210	46	41

#---------------->  Eyelet Left <------------------>#
600004	44	29	62	46	41
600005	64	29	82	46	41
600006	84	29	102	46	41
600007	104	29	122	46	41

#---------------->  Ball Carry Right <------------------>#
700000	132	651	150	668	41
700001	152	651	170	668	41
700002	172	651	190	668	41
700003	192	651	210	668	41

#---------------->  Ball Carry Left <------------------>#
700004	44	651	62	668	41
700005	64	651	82	668	41
700006	84	651	102	668	41
700007	104	651	122	668	41

#---------------->  HUB <------------------>#
800000	60	60	70	115	80
800001	80	60	90	115	80
800002	100	60	110	115	80
800003	120	60	130	115	80
800004	140	60	150	115	80
800005	160	60	170	115	80
800006	180	60	190	115	80
800007	200	60	210	115	80
800008	220	60	230	115	80
800009	240	60	250	115	80

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#----------------> Sophia <------------------>#
# Standing Wheel 
400	10001	100
# Sophia left wheel
401	10001	100	10002	100	10003	100	10004	100
# Sophia right wheel
402	10004	100	10001	100	10002	100	10003	100

# Middle part 
403	10005	100

# Gun 0 LEFT
404	10006	100

# Gun 45 LEFT
405	10007	100

# Gun 90
406	10008	100

# Cabin LEFT
407	10009	100
408	10009	100	10010	100

# Gun 0 RIGHT
409	11006	100

# Gun 45 LEFT
410	11007	100

# Cabin RIGHT
411	11009	100
412	11009	100	11010	100

# Cabin 90 LEFT 
413	10011	100

# Cabin 90 RIGHT
414	11011	100

# -----------------> Bullet ---------------------------#
30003	300003	100
30004	300004	100
30005	310001	100	310002	100	310003	100	310004	100
30006	310005	100	310006	100	310007	100	310008	100
30007	300005	100
30008	310009	100	310010	100	310011	100	310012	100

# -----------------> Interrupt ---------------------------#
600	200001	100

# -----------------> BallBot ---------------------------#
700	400000	100	400001	100	400002	100

# -----------------> Stuka ---------------------------#
800	500000	100	500001	100	500002	100	500003	100	500004	100	500003	100	500002	100	500001	100

# -----------------> Eyelet ---------------------------#
900	600000	100	600001	100	600002	100	600003	100
901	600004	100	600005	100	600006	100	600007	100

# -----------------> Ball Carry ---------------------------#
1000	700000	100	700003	300	700001	100	700000	100	700001	100
1001	700007	100	700004	300	700006	100	700007	100	700006	100

# -----------------> HUB ---------------------------#
1100	800000	100
1101	800001	100
1102	800002	100
1103	800003	100
1104	800004	100
1105	800005	100
1106	800006	100
1107	800007	100
1108	800008	100
1109	800009	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# Player
1	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414

# Bullet: r1 t1 r4 t4 l1 l4
24	30003	30004	30005	30006	30007	30008	

# Interrupt
31	600

# BallBot
32	700

# Stuka
33	800

# Eyelet
34	900	901

# BallCarry
35	1000	1001

# HUB
40	1109	1108	1107	1106	1105	1104	1103	1102	1101	1100

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Player , 1 = Interrupt, 2 = Bullet, 3 = BallBot, 4 = Brick, 5 = Stuka, 6 = eyelet, 7 = BallCarry
# Player 
0	1600	349	1

# Interrupt
1	1675	340	31
1	1710	402	31

# BallBot
3	1295	499	32

# Stuka 
5	300	760	33

# Eyelet
6	1295	594	34

# BallCarry
7	630	925	35


# BRICK 

# type -> x -> y -> ani_set_id -> width -> height

4	1056	656	0	128	32
4	1072	624	0	96	32
4	672	784	0	32	32
4	736	784	0	32	32
4	480	720	0	32	32
4	512	912	0	32	32
4	736	912	0	64	32
4	1056	848	0	64	32
4	1072	816	0	32	32

4	1440	368	0	192	16
4	1616	384	0	16	16
4	1616	400	0	48	16
4	1648	416	0	16	16	
4	1648	432	0	48	16	
4	1616	448	0	80	16
4	1616	464	0	16	64
4	1584	512	0	32	16
4	1584	528	0	16	64
4	1472	576	0	112	16

4	1472	320	0	128	16
4	1584	288	0	16	32
4	1600	288	0	80	16
4	1664	304	0	16	32
4	1680	320	0	32	16
4	1696	336	0	16	64
4	1712	384	0	32	16
4	1728	400	0	16	96
4	1696	496	0	48	32
4	1744	512	0	16	16
4	1760	512	0	16	64	
4	1664	560	0	96	16
4	1664	576	0	16	16
4	1632	592	0	48	16
4	1632	608	0	16	16
4	1344	624	0	320	16
4	1344	640	0	16	16
4	1312	656	0	48	16
4	1312	672	0	16	16
4	960	688	0	368	16
4	960	704	0	16	16	
4	928	720	0	48	16
4	928	736	0	16	16
4	832	752	0	112	16
4	832	768	0	16	16
4	800	784	0	48	16
4	800	800	0	16	16
4	592	816	0	224	16
4	592	752	0	16	64
4	416	752	0	192	16
4	416	768	0	16	32
4	416	800	0	144	16
4	544	816	0	16	48
4	544	864	0	320	16
4	848	816	0	16	48
4	848	800	0	112	16
4	944	784	0	16	16
4	944	768	0	48	16
4	976	752	0	16	16
4	976	736	0	448	16
4	1408	752	0	16	16
4	1408	768	0	48	16
4	1440	784	0	16	16
4	1440	800	0	48	16
4	1472	816	0	16	16
4	1472	832	0	128	16
4	1584	816	0	16	16
4	1584	800	0	48	16
4	1616	784	0	16	16
4	1616	768	0	128	16
4	1728	784	0	16	16
4	1728	800	0	32	16
4	1760	800	0	32	128

4	1472	560	0	16	16
4	1440	544	0	48	16
4	1440	528	0	16	16
4	1408	512	0	48	16
4	1408	496	0	16	16
4	1200	480	0	224	16
4	1200	496	0	16	16
4	1168	512	0	48	16
4	1168	528	0	16	16
4	1056	544	0	128	16
4	1056	496	0	16	64
4	944	480	0	128	16
4	944	496	0	16	16
4	912	512	0	48	16
4	912	528	0	16	16
4	848	544	0	80	16
4	848	560	0	16	48
4	816	608	0	48	16
4	816	624	0	16	16
4	784	640	0	48	16
4	784	656	0	16	16
4	304	672	0	496	16
4	304	688	0	16	16
4	272	704	0	48	16
4	272	720	0	16	96
4	272	816	0	48	16
4	304	832	0	16	16
4	304	848	0	48	16
4	336	864	0	16	16
4	336	880	0	112	16
4	432	896	0	16	16
4	432	912	0	48	16
4	464	928	0	16	16
4	464	944	0	544	16
4	992	896	0	16	48
4	992	880	0	160	16
4	1136	896	0	16	16
4	1136	912	0	48	16
4	1168	928	0	16	16
4	1168	944	0	224	16
4	1376	928	0	16	16
4	1376	912	0	48	16
4	1408	896	0	16	16
4	1408	880	0	224	16
4	1616	896	0	16	16
4	1616	912	0	48	16
4	1648	928	0	16	16
4	1648	944	0	64	16
4	1696	928	0	16	16
4	1696	912	0	64	16	

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	1443	349	0	1463	369	1

